year,texts,words
1754,1,63
1759,1,30
1760,1,545
1762,1,224
1763,1,219
1764,2,1538
1766,1,392
1767,1,724
1768,1,148
1773,2,425
1776,1,388
1778,1,615
1779,1,1824
1780,2,1297
1781,6,18548
1782,2,1561
1783,2,535
1784,4,2193
1785,5,1500
1786,5,2340
1787,3,4234
1788,11,6233
1789,6,5506
1790,12,9858
1791,4,3853
1792,8,16564
1793,4,30678
1794,4,1905
1795,6,9826
1796,10,14203
1797,8,16632
1798,6,21129
1799,13,36733
1800,10,13049
1801,9,18782
1802,4,10701
1803,21,28695
1804,19,35331
1805,25,109191
1806,29,84980
1807,19,60406
1808,31,77713
1809,40,101166
1810,40,108912
1812,38,109538
1813,44,92058
1814,43,144673
1815,40,163551
1816,42,84279
1817,43,62149
1818,36,69071
1819,33,188116
1820,27,76317
1821,42,149145
1822,31,130831
1823,29,85334
1824,41,206409
1825,28,106216
1826,32,78898
1827,46,202756
1828,55,243168
1829,43,192083
1830,59,326159
1831,42,224478
1832,53,233564
1833,41,221275
1834,62,206269
1835,41,234221
1836,52,261121
1837,19,272772
1838,41,274652
1839,49,219293
1840,43,252019
1841,30,203287
1842,44,234935
1843,31,115595
1844,38,289589
1845,47,350622
1846,46,293917
1847,35,238974
1848,36,249676
1849,40,374496
1850,159,997134
1851,93,477910
1852,53,252004
1853,82,481099
1854,68,232158
1855,94,228021
1856,60,258474
1857,72,231796
1858,66,187162
1859,114,310731
1860,65,196990
1861,73,143690
1862,41,241428
1863,74,169633
1864,64,176022
1865,75,173411
1866,132,349874
1867,99,189815
1868,114,236828
1869,175,322776
1870,161,406269
1871,154,300111
1872,175,390637
1873,201,462159
1874,193,528176
1875,197,475739
1876,223,463467
1877,249,508158
1878,207,547483
1879,204,502542
1880,218,503086
1881,227,494042
1882,77,164144
1883,253,578039
1884,274,700821
1885,263,588121
1886,270,632151
1887,298,761643
1888,291,705297
1889,247,552305
1890,277,859424
1891,296,775416
1892,248,719798
1893,271,734158
1894,259,763084
1895,268,865425
1896,244,787737
1897,209,772466
1898,171,695742
1899,195,692799
1900,227,824037
1901,159,605348
1902,201,765452
1903,221,588153
1904,205,563935
1905,196,504516
1906,180,472030
1907,185,469322
1908,176,523863
1909,208,441380
1910,206,536967
1911,162,405890
1912,221,557768
1913,300,732800
1914,269,559549
1915,282,630290
1916,237,497295
1917,203,405575
1918,191,348579
1919,237,435656
1920,190,405054
1921,200,394059
1922,190,390080
1923,209,409983
1924,207,370018
1925,217,374457
1926,214,492242
1927,207,419587
1928,158,339189
1929,139,303942
1930,143,254624
1931,190,383780
1932,172,400592
1933,167,435315
1934,182,426829
1935,215,448158
1936,159,397904
1937,189,435005
1938,189,410780
1939,153,400060
1940,142,389852
1941,162,415165
1942,157,468393
1943,164,542854
1944,134,488425
1945,155,625343
1946,142,518930
1947,136,590250
1948,116,544666
1949,127,539964
1950,94,305125
1951,103,309672
1952,116,345691
1953,113,324710
1954,77,208652
1955,77,223524
1956,110,293607
1957,151,415509
1958,199,408613
1959,171,436331
1960,169,506862
1961,175,675683
1962,180,440668
1963,212,588036
1964,228,602295
1965,173,484333
1966,170,486975
1967,244,613481
1968,224,532629
1969,204,505773
1970,201,550866
1971,191,703489
1972,237,819955
1973,255,946102
1974,225,920170
1975,193,668476
1976,214,981063
1977,196,806782
1978,213,920583
1979,181,820237
1980,206,935658
1981,230,879021
1982,226,967472
1983,222,1045913
1984,238,1080813
1985,249,1103222
1986,230,1063309
1987,179,927516
1988,191,896396
1989,180,1012532
1990,153,1019116
1991,156,846760
1992,123,791976
1993,3055,786474
1994,2051,736248
1995,100,697444
1996,86,665364
1997,96,681083
1998,88,552076
1999,11,146455
2000,46,440131
2001,72,466537
2002,7561,661940
2003,8675,831422
2004,6138,635517
2005,4317,497950
2006,71,137706
2007,73,158385
2008,73,162957
2009,86,149691
2010,83,187090
2011,83,158930
2012,77,261685
2013,83,278233
2014,73,286966
2015,72,217049
2016,80,223922
2017,68,163930
2018,91,359459
2019,73,269120
2020,68,264360
2021,47,155185
